Gene,GAs1,GAs2,GAs3,GC1,GC2,GC3,UAs1,UAs2,UAs3,UC1,UC2,UC3
Solyc02g065100.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc11g030550.3,1749,2067,1460,2485,3031,3509,1097,485,1199,697,1334,1011
Solyc11g008220.3,295,319,117,124,261,202,73,92,155,204,135,246
Solyc06g076660.3,777,774,415,360,390,593,2274,1154,1079,1152,744,948
Solyc09g005650.1,15,17,25,8,0,4,122,194,59,2,0,10
Solyc10g080580.1,5,10,7,22,0,0,5,7,0,0,0,0
Solyc03g113210.3,824,1202,503,572,2577,8633,7454,1417,2207,2034,2063,1572
Solyc07g039400.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc04g079430.4,5937,8629,5184,4234,3850,2733,1079,744,997,1531,1428,1798
Solyc10g085895.1,0,4,0,0,0,0,0,0,0,0,0,0
Solyc10g049330.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc12g015710.2,2390,2262,1733,1918,2071,2411,1718,1400,1632,1061,631,1122
Solyc01g005180.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc09g014700.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g078350.3,87,149,37,14,59,67,37,20,16,35,20,19
Solyc11g065490.2,1168,928,908,567,1148,1092,2072,940,1512,1444,952,1040
Solyc02g087030.1,150,75,64,123,91,113,143,102,52,80,73,86
Solyc08g150115.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc12g100230.1,1,0,0,0,0,0,0,1,0,0,0,4
Solyc02g150136.1,0,0,8,0,0,0,0,0,0,1,0,1
Solyc01g067895.1,800,703,351,491,683,468,162,91,163,121,291,254
Solyc09g010120.2,5877,6501,5245,5410,5827,6264,6445,4447,6089,3267,2703,3886
Solyc05g018563.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc05g007950.4,20,83,58,6,32,15,1,13,25,9,182,91
Solyc02g065220.4,13003,10683,6911,13675,14042,10677,2725,2535,3352,4516,6913,7439
Solyc11g008100.3,1027,1377,828,1078,1070,1126,797,435,806,822,967,859
Solyc01g107300.4,1720,4993,3502,2539,1873,1725,680,312,620,593,671,851
Solyc06g076780.3,500,687,365,540,743,719,890,512,1131,997,1100,1161
Solyc07g062715.1,0,0,0,0,0,0,0,0,1,0,0,0
Solyc02g069800.1,1639,4209,2223,2717,4680,1161,330,434,794,1914,3429,2621
Solyc08g028697.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc06g054360.2,83,120,62,150,144,223,81,58,117,82,70,63
Solyc00g500111.1,0,0,0,1,0,1,1,0,0,0,0,0
Solyc01g080180.3,497,526,307,497,473,544,252,213,276,419,413,406
Solyc04g079550.4,6721,9812,8109,6445,6138,6315,5293,3468,4664,5496,5212,6417
Solyc01g005060.3,167,280,81,110,225,576,379,138,230,128,131,130
Solyc08g077860.4,35,4,0,29,3,0,8,0,0,0,3,4
Solyc03g006870.3,6300,8354,7522,8504,8799,7232,10727,10105,11920,9565,16084,13908
Solyc09g014820.3,6,65,18,18,17,7,1,0,0,12,33,41
Solyc09g005530.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g069180.4,2077,1801,1722,1547,2384,2906,623,261,612,732,644,749
Solyc02g078470.4,1534,1867,1055,1340,1481,1491,862,503,809,889,1061,1095
Solyc03g006140.3,5520,7205,5164,4656,8933,27113,19782,4241,7899,7800,10894,9319
Solyc10g080460.2,0,76,108,0,0,0,0,1,0,0,0,8
Solyc06g076050.4,1526,4240,4779,1449,818,899,657,340,605,501,421,511
Solyc03g095375.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g040905.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g074828.1,0,1,0,0,0,0,0,0,2,4,1,7
Solyc11g044665.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g039390.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc12g011010.2,8,0,0,0,13,505,2239,2466,2614,11604,110,1976
Solyc05g016510.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc03g117780.2,2967,4342,2101,2849,3395,3424,3291,2042,2713,2917,2319,2643
Solyc10g049450.2,0,0,0,0,0,0,0,0,0,0,0,0
Solyc06g072080.3,105,185,156,183,301,193,86,63,73,72,43,86
Solyc09g018780.4,866,1063,852,1118,1276,1277,673,464,636,376,575,562
Solyc10g005340.3,1067,620,803,771,856,1029,2372,1414,1555,643,490,807
Solyc03g117170.1,16,68,33,6,13,1,10,0,15,0,0,0
Solyc08g068700.1,2588,3213,7370,1842,1651,2275,770,569,509,519,407,660
Solyc09g150129.1,4,4,1,4,8,4,1,1,1,2,0,1
Solyc05g051850.3,7690,19399,3567,5158,6812,5443,38862,28568,38589,28045,59531,81925
Solyc03g113450.4,34,41,31,18,91,92,539,477,731,553,79,271
Solyc02g150110.1,365,273,136,372,443,301,116,124,233,167,204,169
Solyc08g082080.3,771,783,537,431,702,1048,494,339,796,646,856,710
Solyc10g045240.2,17,48,57,22,28,67,821,571,736,449,461,610
Solyc07g008780.3,1892,2081,1287,1731,2505,2248,1321,632,949,1229,1863,1382
Solyc01g103450.3,41095,48857,26658,35365,41602,39706,63033,50999,47653,32525,26747,37828
Solyc01g107170.2,889,1792,1490,1315,1004,1162,265,132,512,401,889,538
Solyc10g080220.2,129,89,37,109,44,61,50,9,11,20,18,37
Solyc01g005430.3,802,2390,1759,1339,783,865,306,229,433,436,620,589
Solyc11g008580.3,5657,5375,3484,5125,5866,5992,2829,1727,3031,3959,5156,4394
Solyc07g061850.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g078720.4,93,56,77,116,93,241,516,121,236,178,75,112
Solyc01g097280.2,20,36,88,124,108,223,380,177,222,209,83,119
Solyc10g080100.3,1740,2229,1098,1183,1621,2159,808,653,875,1138,582,837
Solyc07g026990.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g068690.1,3486,9990,12072,7598,4086,2117,80,150,888,1135,2680,2652
Solyc01g005310.3,18,10,2,20,10,36,0,0,0,0,0,0
Solyc10g049476.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g044527.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc03g007485.1,280,227,211,196,312,719,1065,619,478,1243,149,470
Solyc01g009030.4,1376,1593,1033,1104,1254,1430,497,270,481,552,715,639
Solyc03g113570.1,0,4,4,0,0,0,4,0,0,0,4,0
Solyc11g070080.1,8,0,0,0,0,2,0,0,0,0,0,0
Solyc11g150140.1,0,0,0,0,0,3,0,0,0,0,0,0
Solyc02g030270.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc03g094030.4,353,206,121,229,238,312,164,111,83,243,122,202
Solyc07g008660.3,943,985,564,732,860,1083,901,514,630,541,654,564
Solyc03g063780.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g068820.3,1148,1549,705,1454,1530,1709,1388,781,1078,909,966,998
Solyc10g018590.2,2962,4853,3936,3357,3750,3593,3005,2464,3597,2235,2741,2962
Solyc02g065340.3,0,0,0,0,1,0,0,0,0,0,0,0
Solyc03g150124.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g080340.3,136,225,228,25,123,360,601,209,310,390,276,242
Solyc01g103330.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g005550.3,2508,2787,1810,3130,3803,4905,6598,5099,7237,5037,2188,4819
Solyc01g066800.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc04g009140.4,988,1391,575,703,919,1112,993,619,753,590,826,746
Solyc02g078590.1,146,237,164,214,317,336,370,291,254,194,63,217
Solyc11g008710.2,1418,1525,728,1001,1174,1069,1115,771,688,605,630,558
Solyc05g045822.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g061970.3,1777,1579,923,1728,1920,2010,1380,943,1646,1669,1226,1592
Solyc07g008910.3,942,1267,632,751,965,1226,649,320,460,506,475,472
Solyc12g020050.2,2278,2823,1510,1470,1883,2062,1694,1003,1284,1189,1199,1314
Solyc03g117290.1,917,1029,609,926,848,792,306,79,140,219,235,170
Solyc01g112130.4,0,14,0,10,0,0,0,3,10,0,0,0
Solyc03g006750.1,4,37,13,20,12,14,0,0,0,7,0,1
Solyc03g113330.3,486,425,398,410,612,520,564,340,369,312,343,327
Solyc09g014940.3,199,179,97,168,209,250,215,152,280,504,681,567
Solyc12g042110.3,805,803,601,1756,1751,2263,3651,1464,3603,1422,2458,2192
Solyc01g107290.3,2228,3082,4540,2745,2177,1464,687,295,435,720,948,836
Solyc07g008540.3,7333,5917,1608,8360,9767,12252,11776,9459,4949,3844,1249,3662
Solyc02g092375.1,8,15,11,4,29,23,14,6,23,17,21,21
Solyc06g076910.3,14,3,5,12,8,1,9,1,14,29,17,37
Solyc09g010000.4,338,895,805,930,622,328,27,40,46,220,879,623
Solyc05g051610.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g097160.3,3690,3698,2732,3807,4108,5235,2710,1876,2210,1676,1247,2052
Solyc02g078600.3,676,1454,1261,940,582,829,392,278,367,474,446,443
Solyc10g005460.3,4,40,14,8,26,0,0,9,0,1,1,12
Solyc11g008340.3,3190,3969,2141,3186,3250,3944,1828,1313,1818,2421,1904,2658
Solyc11g061770.2,2299,2911,2067,2741,3063,2892,2048,1514,2395,2207,2342,2398
Solyc01g057907.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g018600.2,1913,2638,2020,2016,2648,2381,1463,933,1217,1610,1646,2123
Solyc05g051970.4,14,39,15,36,0,79,78,29,26,47,28,11
Solyc02g078960.4,1836,2709,2172,1985,2027,2552,1286,912,1346,1204,1619,1578
Solyc03g113690.1,0,1,0,0,13,7,7,1,13,0,0,23
Solyc11g069950.2,1999,2665,1721,1788,2123,2358,1327,1050,1508,1910,1613,1916
Solyc05g007460.3,1388,2273,1937,1584,1591,2249,927,432,770,1058,1539,1367
Solyc07g009405.1,0,0,4,0,0,0,0,0,0,0,5,35
Solyc05g007580.1,250,167,129,173,195,286,438,231,302,499,367,459
Solyc12g099110.2,1363,1961,964,909,1342,1401,632,585,333,356,536,436
Solyc11g061900.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g014618.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc11g069830.2,598,656,313,378,672,803,324,224,219,256,283,247
Solyc12g042230.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g049210.3,2771,2834,2669,2655,2872,4414,2201,1254,1910,1322,1533,1837
Solyc01g009390.4,1029,798,481,784,979,1095,447,292,475,573,696,605
Solyc01g112250.4,4472,6017,3315,4490,4839,4750,1748,1188,1864,2425,2954,3277
Solyc09g009980.3,0,14,17,0,0,0,0,0,0,26,15,17
Solyc01g066670.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc04g079920.4,1819,2338,1187,1621,2047,2412,1806,1083,1209,1223,932,1298
Solyc03g059290.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc03g117420.4,5533,4863,4248,6210,8819,10174,2010,904,3010,2920,3230,3446
Solyc03g006630.3,145,139,72,122,152,165,35,18,25,26,66,40
Solyc04g009260.3,1473,2011,1115,1342,1639,1892,869,1009,1233,869,352,846
Solyc00g500351.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g005580.3,325,242,203,462,208,334,222,230,282,276,212,240
Solyc02g065710.3,0,1,0,0,0,0,0,0,0,0,0,0
Solyc04g079800.4,297,619,430,402,419,675,318,239,327,408,304,404
Solyc11g061890.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g097040.4,911,1095,946,855,1383,1322,386,233,756,737,956,955
Solyc08g007570.4,178,68,69,18,6,249,1288,253,396,186,192,222
Solyc02g086227.1,163,180,147,60,97,171,56,43,111,37,71,30
Solyc08g082210.4,3329,6693,4808,2189,1377,1408,347,202,328,388,339,450
Solyc12g006660.2,322,388,236,241,324,608,395,193,292,284,251,270
Solyc01g009400.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g060183.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc03g117300.4,1478,1704,1255,2214,2025,2397,886,447,475,638,527,663
Solyc06g068605.1,10,8,18,13,26,14,8,14,21,40,24,16
Solyc03g059300.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g005710.2,12,0,10,0,0,19,15,4,2,8,12,0
Solyc01g079930.3,0,0,0,1,0,0,0,0,0,0,0,0
Solyc01g009270.1,16,23,35,0,32,44,10,1,14,6,0,58
Solyc01g066790.1,1,5,25,3,14,0,8,0,1,0,0,3
Solyc02g069430.4,3,11,15,8,41,338,212,29,43,53,73,31
Solyc03g044742.1,4,1,0,0,0,0,0,0,0,0,0,0
Solyc06g050640.1,0,0,0,0,0,0,0,0,0,7,0,0
Solyc11g008460.1,557,816,233,225,368,479,282,197,210,530,312,588
Solyc01g079810.4,2021,3682,4349,1952,1819,1564,1132,631,1425,1555,2252,1997
Solyc10g080090.3,459,560,261,579,543,965,824,449,588,811,353,628
Solyc01g103080.3,3561,3586,2261,2303,3214,3922,1527,972,1368,1380,1229,1264
Solyc09g005890.4,36,9,9,0,12,33,8,4,10,9,5,2
Solyc05g052715.1,1442,1144,826,1542,1435,1818,490,355,533,910,451,795
Solyc12g033060.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g078840.4,1514,2664,1553,1687,2058,1992,531,342,537,803,1191,1060
Solyc03g059170.2,4830,5067,4238,6430,5775,6860,14243,7651,8974,4752,4877,6021
Solyc06g054610.2,179,297,224,257,106,327,140,114,131,118,90,97
Solyc03g019760.4,2095,1780,1323,2801,3437,4547,2594,1216,1698,3026,1353,2001
Solyc11g069710.2,608,823,715,595,789,717,690,401,502,487,453,496
Solyc02g065580.3,1387,1821,1048,1064,1332,1345,862,613,625,609,671,694
Solyc07g017950.3,0,1,0,1,0,0,0,1,0,14,0,12
Solyc05g051730.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc04g014855.1,622,417,215,551,676,439,94,32,50,90,131,110
Solyc06g150139.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g052930.3,14,12,6,8,23,41,10,1,9,15,14,3
Solyc03g094150.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g068940.1,0,8,0,5,0,5,0,0,12,1,8,1
Solyc09g005900.2,0,3,4,1,12,4,0,2,0,0,0,0
Solyc12g019920.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g069550.1,6,0,0,0,8,0,10,6,4,10,1,0
Solyc03g006510.4,2876,3265,1683,2415,2671,2822,1576,1052,1423,1880,1962,2073
Solyc04g017960.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc06g067860.3,91,8,20,465,482,338,0,4,4,14,17,21
Solyc06g050760.1,622,701,442,544,673,630,282,262,445,363,325,405
