Gene,GAs1,GAs2,GAs3,GC1,GC2,GC3,UAs1,UAs2,UAs3,UC1,UC2,UC3
Solyc00g500390.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc04g049970.4,745,862,628,777,1117,953,862,598,670,652,629,724
Solyc09g098280.3,3411,3773,1910,3225,3766,3724,3517,1961,2275,1774,1959,1969
Solyc02g082170.3,0,0,0,0,0,0,0,0,0,4,0,0
Solyc09g150142.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g111480.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc03g111090.4,3919,5375,3284,3568,4214,4487,2804,1625,2529,2876,2712,2794
Solyc07g008600.1,452,1646,984,736,682,250,10,27,25,154,233,271
Solyc10g006480.2,24062,16008,9017,17799,22817,25492,15371,11232,21842,23406,48203,38490
Solyc04g005350.3,1188,1402,928,963,1124,1372,1302,797,1276,1045,996,944
Solyc06g051060.4,154,75,88,108,71,236,47,32,24,121,46,24
Solyc08g062655.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g062990.2,0,0,0,0,0,0,0,1,0,1,6,0
Solyc10g085710.3,2860,4186,2502,2565,3010,3276,1549,857,1360,1928,2175,2266
Solyc09g015850.4,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g075118.1,0,0,14,0,0,0,14,1,0,12,10,0
Solyc07g062750.4,340,325,275,366,339,551,774,507,679,358,217,322
Solyc02g088660.4,546,621,521,636,654,725,428,328,469,551,284,529
Solyc10g006240.3,3767,3459,2434,3565,3990,3778,4121,2714,3611,2658,3009,3349
Solyc00g500400.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g080030.2,0,0,0,0,0,0,0,0,0,0,0,0
Solyc09g010050.1,33,17,17,50,0,42,4,0,20,6,8,6
Solyc04g072870.2,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g068793.1,0,12,20,0,33,8,16,1,0,7,5,6
Solyc04g015635.2,0,0,0,0,0,0,0,0,0,0,0,0
Solyc11g008905.1,36,51,53,103,63,27,32,27,26,62,44,52
Solyc06g071180.3,414,448,201,444,600,862,91,103,183,219,308,177
Solyc11g011200.2,1389,1474,814,1333,1532,1904,960,541,587,924,799,730
Solyc11g011190.1,1278,2285,1471,1895,2209,2313,638,417,662,1739,1703,1562
Solyc03g093620.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g066850.4,46,60,69,0,66,54,44,34,74,22,13,4
Solyc12g033130.2,0,0,0,2,0,0,0,0,0,0,0,0
Solyc03g080130.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc04g072750.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc04g071700.3,1218,1454,1461,2079,1615,1889,2275,1771,2540,1852,1646,1933
Solyc10g006360.2,83,98,35,70,68,122,151,141,244,287,222,267
Solyc01g057705.1,0,4,9,4,0,0,0,0,0,0,1,0
Solyc04g005600.3,0,0,0,0,0,25,158,162,124,368,0,165
Solyc09g098160.3,11,34,74,16,0,24,230,130,162,165,138,151
Solyc01g097100.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc03g019710.3,115,89,37,62,98,532,1,0,9,43,39,23
Solyc09g015730.1,0,0,0,1,4,0,0,0,0,0,0,0
Solyc10g044988.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g006920.3,18,5,11,19,44,59,18,0,6,4,11,3
Solyc10g085830.2,8096,18689,5354,11118,12878,10723,7452,5800,6051,5815,8089,8430
Solyc03g116530.3,42,46,46,4,38,33,16,24,68,71,111,5
Solyc06g064430.1,95,221,96,96,45,135,64,80,70,87,86,75
Solyc07g062870.3,13392,20293,14622,19591,18626,20155,39083,32181,26940,11261,10450,14462
Solyc04g051183.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g032620.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g088780.4,1826,1236,455,516,1006,908,535,269,175,247,225,352
Solyc06g071060.1,343,266,267,202,185,181,128,52,70,268,189,290
Solyc01g109880.3,6082,9675,2905,9839,13246,16269,2955,2549,7679,10352,13958,9467
Solyc02g062535.1,0,1,0,0,0,0,0,0,0,0,0,0
Solyc09g048970.3,143,127,68,144,136,163,78,25,61,44,41,21
Solyc07g008720.4,16678,20836,10530,14744,15797,16263,26154,15677,17120,10984,12416,11589
Solyc04g017910.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc11g071720.2,389,344,230,318,315,353,215,67,305,133,134,163
Solyc12g098560.2,0,0,0,0,0,0,0,0,0,0,0,0
Solyc04g005590.3,1688,1556,986,1341,1653,1674,1779,1087,1203,1161,1398,1131
Solyc09g098040.3,12312,12109,11356,11455,11424,14266,7711,6025,6922,6933,5466,8697
Solyc02g064930.1,0,6,0,0,0,0,0,0,0,0,0,0
Solyc09g015610.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc03g093490.3,14,46,56,8,2,45,87,56,140,86,19,48
Solyc01g010810.4,777,1015,521,752,892,915,582,352,421,381,418,444
Solyc06g084430.4,314,439,372,223,156,216,432,177,281,156,34,87
Solyc10g085950.2,155,217,134,28,78,237,34,17,29,38,39,32
Solyc06g064550.3,80,30,153,4,1,65,8932,7587,8438,1070,420,2911
Solyc09g056224.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g050777.1,32,1,0,19,28,18,10,1,4,0,2,6
Solyc06g074585.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g109760.3,408,916,519,484,492,460,152,109,182,202,287,220
Solyc03g093500.3,134,68,40,33,113,184,271,116,88,127,71,96
Solyc01g111610.3,180,344,216,172,164,193,110,58,118,132,140,127
Solyc03g026220.3,4881,14276,9293,6986,5533,5259,4329,3433,5433,9399,6296,8178
Solyc04g012110.2,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g066730.4,107,194,118,94,187,223,143,64,123,74,25,60
Solyc11g067000.3,12,0,23,1,2,0,0,0,0,1,0,1
Solyc02g032740.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g080150.2,296,319,170,212,314,1741,220,337,254,216,121,203
Solyc03g116650.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g090643.1,46,28,12,40,13,16,21,15,18,22,23,18
Solyc00g500177.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g089880.4,11,36,56,34,43,49,291,147,277,439,51,114
Solyc05g025630.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g068490.3,43,52,197,13,3,47,334,305,179,281,9,108
Solyc03g013220.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc04g009220.2,167,257,138,103,154,134,33,5,15,67,20,34
Solyc10g150126.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc03g111360.3,922,830,645,794,847,907,93,98,64,96,95,147
Solyc01g103770.3,639,639,325,603,622,873,388,224,279,311,414,273
Solyc02g085060.2,0,1,0,0,0,0,0,0,0,1,0,0
Solyc04g072047.1,10750,10988,7426,8362,10362,7819,10483,10418,11534,6555,7421,7304
Solyc03g111240.2,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g052917.1,14,2,3,0,15,0,6,1,8,2,4,1
Solyc11g028180.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g068500.2,4,1,4,0,8,0,38,12,0,15,0,4
Solyc11g045334.1,2,12,0,0,0,0,0,0,4,0,0,1
Solyc00g500297.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g043970.1,21,20,25,5,0,20,0,0,0,6,5,3
Solyc11g072820.3,1075,1347,1326,1297,1274,1623,1329,999,1360,1243,439,776
Solyc11g028310.3,4,4,5,2,4,18,0,0,4,1,0,0
Solyc02g094585.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc03g013340.3,0,0,4,0,0,3,585,236,144,91,0,19
Solyc06g050600.4,0,0,0,0,0,0,4,0,1,0,0,0
Solyc01g079970.2,0,0,0,0,0,0,0,0,0,0,0,0
Solyc05g009310.3,1428,1578,2062,917,1301,1899,0,1,0,0,7,10
Solyc06g050470.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc05g053820.3,1182,1290,847,1186,1253,1254,928,720,1105,920,1231,1315
Solyc12g006710.3,367,422,152,223,343,340,227,124,186,231,272,233
Solyc12g006460.2,1256,8405,2918,2062,5596,60227,5342,6412,8299,6061,4561,8489
Solyc05g009550.3,2940,7097,3167,4799,2391,1404,100,95,93,267,1079,663
Solyc01g079850.3,8,79,125,1,44,148,608,305,316,343,99,196
Solyc01g103890.3,3254,4715,3298,3317,3533,3375,1975,1610,2523,2645,2722,3165
Solyc06g050350.3,444,767,731,209,352,793,870,413,658,462,171,336
Solyc11g021310.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g500057.1,0,0,0,0,0,0,0,0,0,0,0,2
Solyc00g500307.1,0,0,0,0,0,0,0,0,0,0,0,1
Solyc05g014910.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g068620.3,6,0,3,0,0,0,0,0,0,0,0,1
Solyc03g013100.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc05g026245.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc11g073315.1,0,0,0,0,0,0,1,0,0,0,0,0
Solyc05g054315.1,1030,1617,787,1477,1858,4687,5362,4005,4160,5051,2652,3919
Solyc04g009340.3,1216,1322,823,1371,1794,1499,805,551,853,1032,887,1086
Solyc11g072700.2,0,0,0,0,0,0,0,0,5,2,0,2
Solyc02g089640.3,6013,16030,13442,7659,3082,2627,680,436,610,946,803,1039
Solyc03g013090.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc06g010170.3,644,619,527,1222,977,1270,530,196,323,185,29,172
Solyc06g050720.3,1855,2659,2009,2490,3000,2832,912,380,1015,1456,1605,1201
Solyc05g025750.3,1870,2670,1504,1841,1894,2361,806,627,703,1361,929,1149
Solyc05g056000.3,5023,4117,3123,6671,6447,8469,3525,1870,2658,3523,1927,2866
Solyc01g107090.2,373,999,2045,918,508,404,10,11,13,13,47,11
Solyc02g093970.4,1237,2151,2212,924,1331,1507,2285,1204,1501,1879,710,1331
Solyc03g013460.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g068250.4,1,3,24,0,8,38,8,10,26,1,6,14
Solyc05g014540.3,86,124,62,52,141,179,523,231,246,314,209,325
Solyc06g061200.1,1,1,15,0,0,0,797,1445,1641,169,212,658
Solyc04g009580.3,1341,1559,1133,1373,1672,1910,2881,1756,2029,2004,1181,1705
Solyc06g050230.4,1693,1913,1468,1390,1327,1723,966,713,1085,1198,948,1332
Solyc03g111000.3,2312,2378,1441,3189,3909,3962,954,499,864,917,1211,1198
Solyc01g103410.3,11754,23403,19723,19024,18474,26135,6708,4976,10233,12230,8243,9315
Solyc05g150152.1,624,508,757,989,617,1099,1621,825,734,369,240,688
Solyc01g057920.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc05g014420.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g016210.3,5893,15478,12582,7063,4573,2126,358,400,887,2340,6888,6016
Solyc08g036575.1,4,0,1,1,0,0,0,0,0,0,5,0
Solyc10g011827.1,6,0,0,0,1,0,0,0,0,0,3,2
Solyc03g111610.3,14344,16879,15847,16488,15185,17039,37563,27108,35496,16845,12846,20715
Solyc05g053700.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g017260.2,117,131,103,92,131,135,57,55,40,111,20,76
Solyc11g072570.2,0,0,0,0,0,0,1,8,16,1,0,0
Solyc08g068740.2,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g093610.3,237,161,186,118,101,99,158,89,168,140,84,84
Solyc07g061890.1,1,6,1,0,0,0,12,1,26,0,15,11
Solyc06g050840.3,1576,2906,1533,1787,2106,1979,959,745,481,602,429,543
Solyc04g017880.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g061900.3,10286,10542,7941,12024,10918,13812,27642,22596,17644,9654,6401,9976
Solyc08g068860.3,2310,4015,1473,2614,2778,1633,390,310,452,1578,3831,3778
Solyc08g068130.1,5,4,13,22,28,18,0,8,1,11,0,0
Solyc05g053690.2,63,83,23,32,89,55,67,25,45,24,23,19
Solyc02g089520.2,815,402,248,349,534,489,31,50,92,57,127,175
Solyc02g085430.4,69,164,156,127,102,206,89,100,87,86,36,42
Solyc06g065900.4,2464,4785,4462,4729,4286,4948,865,595,609,1309,1389,1041
Solyc05g053570.4,424,374,257,349,431,742,253,147,204,237,195,233
Solyc02g093850.3,246,313,260,196,202,355,536,180,475,170,89,223
Solyc08g044337.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g089400.4,2946,2728,1742,2265,3219,3673,1205,783,1225,1416,1904,1962
Solyc03g111730.3,28,56,25,71,49,54,23,16,57,53,114,83
Solyc11g072690.2,825,1434,817,866,1117,1185,1064,774,1067,1115,522,744
Solyc06g050110.2,0,0,0,0,0,0,0,0,0,0,0,0
Solyc05g025510.3,2315,3347,2445,3260,3640,4095,2094,1614,2276,2249,1948,2087
Solyc06g006080.3,12643,14045,15083,12939,14879,17123,4159,3487,5364,3022,4423,4599
Solyc01g079610.3,5297,7492,2635,2750,4958,1905,1778,1144,1248,3025,5838,3951
Solyc08g068010.2,2733,3272,1940,2400,2641,3032,1281,976,1462,1562,1244,1417
Solyc01g103900.2,0,0,0,0,0,0,4,0,0,0,2,2
Solyc03g150150.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc05g014300.1,15,27,16,20,30,31,0,4,1,0,3,1
Solyc07g065980.3,884,1559,1138,1566,1568,1651,2592,1876,4189,2371,5625,5306
Solyc02g093730.4,761,786,526,773,840,1138,553,265,471,310,373,453
Solyc02g085550.3,0,0,0,1,0,0,0,0,0,0,0,0
Solyc04g082050.3,363,113,99,145,420,614,253,242,465,64,93,56
Solyc00g500271.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g061455.1,42,31,41,54,68,38,4,4,0,13,19,0
Solyc01g049740.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc06g062295.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc03g043940.4,377,292,248,350,366,491,165,68,132,71,131,119
Solyc05g009430.3,35,31,24,34,35,15,48,7,11,42,62,32
Solyc05g010450.1,108,78,50,64,144,210,441,283,726,322,212,410
Solyc05g026485.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g041685.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc04g009830.3,506,661,350,582,820,778,313,179,410,506,357,442
Solyc04g017640.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g018005.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc06g065650.3,1017,832,907,850,1048,1685,589,351,517,701,386,523
Solyc07g042260.4,643,568,318,779,1140,1425,1718,600,920,1081,593,981
Solyc12g005795.1,6,0,0,0,0,1,66,30,17,11,1,14
Solyc07g017510.3,4718,5898,4777,5053,6330,5917,1791,1329,3750,4447,6596,7447
Solyc09g060070.2,16,33,12,24,24,28,29,12,0,11,1,4
Solyc02g085670.3,2357,2166,1755,2213,2415,2788,1110,544,560,681,541,553
Solyc12g098467.1,191,290,226,111,198,287,107,53,129,233,126,239
Solyc01g079480.3,5082,4661,4088,3304,2807,3105,1683,895,2265,1985,1673,1920
Solyc02g093480.4,96,242,124,165,150,136,112,62,134,278,168,194
Solyc03g115570.1,56,75,51,60,68,127,9,23,6,12,18,13
Solyc03g006060.3,776,1296,1013,932,726,791,387,282,308,391,539,571
Solyc09g075860.3,8223,10800,7894,8660,9473,8177,1057,389,819,2361,1829,2021
Solyc02g093360.3,521,703,379,685,645,917,1007,837,1862,993,719,1252
Solyc05g010570.3,655,632,314,448,554,531,284,225,249,384,249,286
Solyc07g065860.3,178,226,128,160,152,200,465,248,427,429,150,370
Solyc12g098930.3,1,4,18,20,0,6,79,24,23,24,16,37
Solyc08g075770.3,1302,1800,1088,1252,1363,1583,726,515,668,888,1191,1063
Solyc03g112465.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc05g015885.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc11g013010.2,1281,1272,930,1456,1489,1531,1081,712,1154,930,1040,948
Solyc01g087095.2,83,77,60,58,60,49,38,24,5,44,18,38
Solyc03g090990.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g052716.1,2,4,2,0,0,0,0,0,0,8,0,1
Solyc03g115450.1,12,9,21,0,22,139,155,40,81,76,12,54
Solyc12g006100.2,24,36,16,8,0,18,33,34,17,17,6,10
Solyc10g036640.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g078030.3,1841,2324,1918,1728,1587,1882,834,456,685,1261,874,1312
Solyc03g046360.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g150100.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g085790.3,2004,2819,1596,1743,2141,2258,2278,1872,1716,1682,1247,1520
Solyc00g500151.1,0,0,4,0,1,0,0,1,0,0,1,0
Solyc06g065530.4,1,24,42,0,0,0,192,46,96,152,29,66
Solyc07g042380.4,2928,2757,1275,1875,2131,2184,1739,956,1032,1218,1113,1288
Solyc02g049090.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g049913.1,3,6,18,0,25,16,0,0,0,2,0,0
Solyc10g085090.3,1,2,8,10,1,2,12,21,31,13,39,65
Solyc11g013130.2,2528,2082,1098,2900,3206,3185,1635,849,969,1463,1215,1283
Solyc04g009710.2,0,0,0,0,0,0,0,4,0,0,0,0
Solyc12g006090.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g082760.3,84732,105391,70968,102870,107689,88406,111030,77171,90206,76943,98327,129987
Solyc05g009920.4,2036,2552,1812,2638,2363,2436,1779,1206,1081,777,489,911
Solyc02g062990.1,0,3,0,1,0,0,1,0,2,14,0,8
Solyc04g071330.4,1787,2152,1593,2112,2602,3005,782,494,798,704,821,821
Solyc09g075740.1,5,14,12,2,12,8,22,4,28,30,12,9
Solyc02g093240.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g065740.3,1347,2095,1017,1689,1673,1521,816,575,839,825,1498,969
Solyc03g006456.1,2,0,1,2,0,1,5,1,2,1,4,4
Solyc08g075890.3,11658,10343,6425,10086,12078,14482,8092,3743,6182,6866,8153,8646
Solyc02g078150.4,0,0,0,0,0,0,8,0,6,0,0,2
Solyc08g075900.1,0,0,0,0,0,22,0,0,0,0,0,0
Solyc11g039400.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g065500.2,3905,3637,4991,2362,2436,3082,2970,1777,1541,646,339,850
Solyc10g080780.2,844,1279,694,1069,1222,1484,1132,880,925,918,512,686
Solyc08g069235.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g500031.1,0,4,0,0,6,2,0,0,0,0,0,0
Solyc03g043700.3,131,220,286,343,305,168,41,35,19,184,428,446
Solyc07g042020.3,783,1088,820,649,844,1107,759,398,536,510,255,454
Solyc05g009670.3,1213,831,520,1191,1321,1775,374,236,406,714,650,519
Solyc04g057820.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g085920.3,1540,1997,1191,1422,2005,2270,1252,832,1449,1118,1397,1224
Solyc02g049100.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc06g011405.1,259,5,150,89,145,64,135,107,56,86,57,49
Solyc02g082880.2,0,0,0,0,0,0,0,6,0,6,0,0
Solyc02g085800.2,0,0,1,0,0,1,45,0,13,0,6,0
Solyc10g080660.3,4576,4045,3390,5188,5465,6799,2879,1859,3226,3254,3523,3567
Solyc05g010700.1,113,60,59,60,96,71,87,86,184,126,42,218
Solyc07g065490.3,7701,10260,5885,7796,10799,11713,10120,6293,10288,9115,8431,10372
Solyc11g039390.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g086880.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g070130.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g085100.2,2299,2393,2182,2454,2967,4429,3320,2314,3071,2664,1918,2417
Solyc12g006340.3,169,259,97,57,123,118,67,140,206,257,26,217
Solyc04g071080.2,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g065620.4,1504,2059,1072,1354,1664,1692,1042,761,1055,752,1007,943
Solyc01g079240.3,802,1975,1427,876,876,961,3762,2946,2188,5414,1334,2874
Solyc01g103530.3,755,588,536,190,319,1076,2041,958,2115,2079,578,1200
Solyc10g049663.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc03g115330.2,461,424,304,579,625,842,338,208,166,270,191,195
Solyc10g076415.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc04g018255.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g039470.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g070010.1,964,900,517,903,1204,1093,114,69,125,186,317,333
Solyc10g008050.2,21,29,14,0,32,23,10,8,10,16,3,16
Solyc05g009800.4,2660,3428,2639,2331,2674,2502,2051,1322,1205,1904,1199,1619
Solyc04g057940.4,276,288,295,426,413,774,175,68,166,587,334,229
Solyc04g071210.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g068370.3,2223,2315,1338,1733,2101,2501,1228,813,1180,1627,1872,2005
Solyc08g016080.3,14991,15674,11564,15222,15572,13756,17993,12590,21604,14877,16018,21500
Solyc04g009950.3,3262,3480,2003,2921,3473,4383,2813,1712,2423,2582,2350,2839
Solyc02g089760.3,476,774,892,487,650,772,1055,550,592,502,313,402
Solyc09g075980.3,8,0,1,12,2,27,50,16,25,42,24,10
Solyc10g080540.2,5,9,26,0,4,76,186,97,220,60,28,29
Solyc12g039120.2,14826,18505,7629,10923,12454,12706,19737,11922,9259,6315,7243,6802
Solyc01g007180.3,299,382,187,252,421,389,78,84,149,101,169,115
Solyc01g103650.3,701,1390,1771,927,992,1154,246,138,186,1226,2014,2246
Solyc01g107950.2,0,1,0,0,0,0,0,0,0,0,0,0
Solyc05g009790.1,2900,10314,10512,3861,1878,1203,167,141,182,356,439,597
Solyc01g079360.4,800,1438,1188,573,1082,2355,613,147,294,265,326,314
Solyc10g085220.3,1323,3406,1364,1343,2130,10182,3724,3282,3622,2387,1513,2455
Solyc12g082791.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g078270.3,693,571,421,648,859,836,462,316,321,411,320,270
Solyc01g150109.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc05g053940.3,4635,8025,4056,5389,5676,6024,4058,2488,3995,4175,4768,3957
Solyc02g038740.4,297,347,342,386,330,393,426,73,215,62,111,153
Solyc07g032600.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g079980.1,7,6,19,0,0,0,1,0,0,0,0,6
Solyc12g006220.3,63,68,41,91,92,173,58,27,69,47,85,40
Solyc10g087015.1,0,0,0,0,0,0,8,2,0,0,3,0
Solyc11g072940.2,2560,2519,1538,2242,2675,2881,1648,1088,1586,2219,1660,1793
Solyc02g014800.2,0,0,0,0,0,0,0,0,0,0,0,0
Solyc03g006670.4,125,459,91,118,396,1026,371,147,194,274,120,128
Solyc01g090730.3,27,244,89,79,201,1008,572,81,125,184,39,92
Solyc12g038557.1,218,277,118,105,167,148,50,94,62,58,12,66
Solyc12g006007.1,216,430,239,289,431,406,482,199,392,257,327,309
Solyc12g100310.2,3186,3944,2626,2864,3644,3726,1953,1475,1854,2089,1795,2198
Solyc07g053720.3,4017,5530,3082,4307,5196,3435,1623,1431,2677,3689,6619,5150
Solyc02g070490.4,2140,3909,1676,3107,3184,2229,3285,2563,4159,2872,3794,4781
Solyc09g008240.3,3366,2173,1640,2198,3634,4992,3517,2653,4401,4572,4109,5432
Solyc01g086640.2,2472,8553,6791,4681,1892,1090,258,295,302,455,687,546
Solyc01g057060.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc04g077550.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g075040.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g014790.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc06g074170.3,60,45,28,34,62,86,76,25,76,200,274,174
Solyc11g013740.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g057180.2,0,0,0,0,0,0,0,0,0,0,0,0
Solyc06g008366.1,13,24,2,0,7,8,16,6,12,19,0,5
Solyc12g082792.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g150108.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g090610.3,0,0,0,0,8,12,0,0,0,0,0,0
Solyc05g041310.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g062510.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g053840.1,0,0,6,0,0,0,0,0,3,4,1,0
Solyc09g075130.3,8483,9042,5040,7530,8154,9115,6777,4102,5227,3559,4161,3733
Solyc03g079883.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc09g008120.4,807,833,577,741,774,866,414,234,472,444,327,313
Solyc10g045435.1,70,77,102,96,116,114,65,21,38,33,43,49
Solyc10g008300.3,1128,2106,1689,1253,946,1070,863,648,851,1191,1060,1404
Solyc01g086760.4,0,0,0,0,0,0,0,0,0,0,1,12
Solyc06g048400.1,0,0,0,3,0,0,0,0,0,0,0,0
Solyc04g077670.3,270,525,357,387,454,508,920,731,1027,1105,680,921
Solyc02g005003.1,36,2,3,6,4,0,9,0,0,0,0,0
Solyc03g070460.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g086787.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc11g013500.1,708,962,257,641,704,571,151,118,107,364,845,498
Solyc03g006800.1,28,21,53,1,10,47,22,43,42,73,6,42
Solyc07g017990.3,371,623,310,204,207,181,77,66,87,237,133,288
Solyc08g065145.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc11g013860.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g053600.3,1717,1700,1011,1389,1710,1757,441,330,381,915,453,766
Solyc04g053147.1,0,0,0,4,0,4,0,0,0,0,0,1
Solyc06g074050.3,406,247,199,190,242,412,780,629,733,779,276,428
Solyc09g075370.3,1623,2476,1071,1515,1879,1989,1702,1251,1301,978,990,903
Solyc09g014993.1,0,0,0,0,0,0,0,0,1,0,0,0
Solyc10g008290.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g070250.4,1662,1366,1101,1322,1799,1731,931,497,796,1001,1171,814
Solyc04g082910.1,354,201,210,193,183,375,312,173,534,412,206,314
Solyc06g048390.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g007950.4,1112,1238,696,783,1076,1521,828,557,889,809,505,782
Solyc11g013490.2,3294,4158,1987,3132,3602,3633,1733,1066,1641,1583,2370,2061
Solyc08g075160.3,4248,5203,3165,3486,3410,4238,4936,3076,2404,1763,1317,2099
Solyc12g100180.2,51,590,479,27,86,415,2636,904,1675,907,485,877
Solyc02g062630.1,48,39,19,35,37,17,5,1,4,14,4,2
Solyc07g053960.3,1655,1441,913,1215,1538,2080,707,391,833,946,1199,1126
Solyc07g053590.4,7,15,11,19,22,68,142,64,166,149,20,76
Solyc09g075010.3,13721,11589,6772,10037,11899,12991,9267,5918,6597,6774,8071,6295
Solyc03g115080.2,521,844,408,539,582,873,656,523,618,541,514,555
Solyc03g006550.4,11,4,45,6,41,26,120,108,45,48,22,38
Solyc08g044550.2,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g088957.1,905,970,502,691,1124,1243,529,315,548,560,539,707
Solyc06g074420.1,48,563,1069,1,0,0,0,0,0,0,0,0
Solyc01g097610.3,1079,1476,821,1175,1342,1726,845,641,865,812,979,856
Solyc03g006920.2,431,402,321,342,572,730,320,188,334,514,458,520
Solyc10g007710.3,0,6,5,0,0,10,65,29,29,50,18,17
Solyc07g017870.2,0,0,0,0,0,0,1,0,0,0,0,0
